address.streetAddress,address.city,address.state,address.zipcode,zpid,propertyTypeDimension,yearBuilt,county,livingArea,rentZestimate,monthlyHoaFee,price,url,datePosted,resoFacts.daysOnZillow,attributionInfo.trueStatus,imgSrc,bedrooms,bathrooms,longitude,latitude,description,rentAverage
25 Long Creek Lane,Richmond Hill,GA,31324,119712789,Single Family,2013,Bryan,3521,3550,260,699000,/homedetails/25-Long-Creek-Ln-Richmond-Hill-GA-31324/119712789_zpid/,1/1/2026,111,,https://photos.zillowstatic.com/fp/5eb65d086ad9525b00f04fba8e7aa7a5-p_d.jpg,5,4,-81.1991,31.855522,"SELLER OFFERING $10,000 TOWARD BUYER’S CLOSING COSTS AND/OR RATE BUYDOWN! Located on a private wooded lot in the Waterways Community of Richmond Hill, this home is more than just a residence; it’s a retreat. With over 3,500 square feet on 0.68 acres, it offers the perfect blend of comfort, luxury, and space. The main floor features an open living area that flows seamlessly into the gourmet kitchen. Large windows overlook the covered patio and backyard, creating a seamless transition between indoor and outdoor living spaces. A formal dining room, private office, and a guest suite with a full bath complete the first floor. Upstairs, you’ll find a versatile bonus room, a primary suite with a spa-inspired en-suite bath with a large walk-in closet, along with three additional bedrooms and two full bathrooms. Life in Waterways is all about community and the outdoors—residents enjoy a marina with deep-water access, resort-style pool, community garden, scenic trails, and the new tavern.",2900
"Nantucket Signature Plan, Wexford",Richmond Hill,GA,31324,460694717,Single Family,2026,Bryan,2936,3238,,503500,/community/wexford/460694717_zpid/,3/22/2026,30,,https://photos.zillowstatic.com/fp/7a06e8d16c0e2456dfbb151beadae5e2-p_d.jpg,4,3,-81.2703,31.873547,"Elegant, expansive, and exceptionally flexible, the Nantucket Signature is designed to adapt beautifully to your lifestyle. With 2,936 square feet of thoughtfully designed living space, this two-story home offers 4 to 5 bedrooms, 2.5 to 3 bathrooms, and an oversized 2-car garage.
Choose from four stunning exterior elevations, each featuring a welcoming covered front porch that adds charm and curb appeal.
Step through the front door into a spacious foyer flanked by a formal living room and dining room-perfect for hosting guests or holiday gatherings. At the rear of the home, a large kitchen awaits with endless customization options, a 7-foot island with bar seating, and a generous walk-in pantry. The kitchen flows into a bright breakfast room with access to the back patio, and beyond that, a sprawling family room ideal for everyday relaxation.
Also on the main level, a large mudroom and powder room sit just inside the garage entrance for added convenience. The first floor also offers two distinct layout options for a guest or in-law suite, each with a private full bath.
Upstairs, you'll find three spacious secondary bedrooms, each with walk-in closets, as well as a centrally located laundry room and shared full bath.
The crown jewel of the second floor is the owner's suite, spanning an impressive 400 sq. ft., including a serene sitting area. Optional tray ceilings elevate the space with architectural elegance. The suite also features an expansive dual walk-in closet (100 sq. f",2650
"The Hatteras Plan, McAllister Pointe",Richmond Hill,GA,31324,456062870,Single Family,2026,Bryan,2512,3099,,463900,/community/mcallister-pointe/456062870_zpid/,3/18/2026,34,,https://photos.zillowstatic.com/fp/1b3a78d7e469d9590838949564af0161-p_d.jpg,5,3,-81.26403,31.889456,"The Hatteras is a thoughtfully designed two-story home that balances open living spaces with private retreats, making it a favorite in many new home communities throughout Coastal Georgia.
On the main floor, the kitchen, dining, and living areas flow together effortlessly, creating a welcoming space where families naturally gather. A flexible office or study offers the perfect spot for working from home, while a secondary bedroom and full bath provide comfortable accommodations for guests. Upstairs, the spacious primary suite offers a peaceful escape, complete with a sitting area, two walk-in closets, and a relaxing bath with soaking tub and separate shower. Three additional bedrooms provide plenty of room for family, hobbies, or visiting friends.
For buyers looking for new construction homes in Savannah, Brunswick, Richmond Hill, Rincon, and Kingsland, the Hatteras combines everyday functionality with comfortable, modern design.",2900
10 Valley Oak Drive,Richmond Hill,GA,31324,111238774,Single Family,2009,Bryan,1420,2131,52,295000,/homedetails/10-Valley-Oak-Dr-Richmond-Hill-GA-31324/111238774_zpid/,4/14/2026,8,,https://photos.zillowstatic.com/fp/b87ee89a7b7192b6de0f051dacc45969-p_d.jpg,3,2,-81.31777,31.945093,"Ready to spend the summer by the pool? 10 Valley Oak Drive has you covered. Centrally located in the Live Oak neighborhood of Richmond Hill, this home features 3 bedrooms, 2 bathrooms, and over 1,400 square feet of living space. All situated on a corner lot, just steps away from the community pool. Inside the home, the living room is light and bright with updated flooring-no carpet. The spacious kitchen has ample room for a dining table and opens to the backyard. The primary bedroom features tray ceilings and an en-suite bathroom with a soaking tub, separate shower, and double vanities. The additional two bedrooms are nicely sized. The two-car garage is great for parking or storage. This home is move-in ready, while still providing a blank slate for you to personalize and make it your own. Behind the home, the backyard is ready to be fenced for kids and pets to play. Conveniently located on the same block as the community pool, playground, and basketball court. Bryan County offers highly ranked Richmond Hill schools. This location is close to I-95 and US-17, granting easy access to Savannah and major employers, including Gulfstream, the Hyundai Metaplant, and nearby military bases Fort Stewart and Hunter Army Airfield. The attractive price point, neighborhood amenities, and affordable HOA fees make this home hard to pass up.",2100
293 McCrady Drive,Richmond Hill,GA,31324,295219319,Single Family,2018,Bryan,2549,,63,449500,/homedetails/293-McCrady-Dr-Richmond-Hill-GA-31324/295219319_zpid/,1/24/2026,88,,https://photos.zillowstatic.com/fp/36c048eea72d6aa8980c613e0b85b885-p_d.jpg,6,4,-81.246605,31.873941,"Experience executive living in this stunning 6-bedroom, 3.5-bath residence, perfectly blending grand entertaining spaces with everyday comfort. The open foyer leads to a light-filled great room and a formal dining room featuring a convenient butler’s pass-thru. At the heart of the home, the chef’s kitchen boasts staggered gray cabinetry, quartz countertops, stainless appliances, walk-in-pantry, and a sun-drenched breakfast nook. The main floor features a private guest bedroom with full bath, while an elegant oak staircase leads to five additional bedrooms, loft, and a laundry room with a built-in folding station. Retreat to the primary suite, highlighted by a tray ceiling, an expansive walk-in closet, and a spa-like bath with a garden tub and separate shower. Outside, a covered low-country style front porch and spacious back deck with exquisite views of the woods. Located in Richmond Hill’s Buckhead East community with resort style amenities including two pools and a playground. This home is just a short walk from McAllister Elementary and DeVaul Henderson Park’s extensive sports complex and dog park. Enjoy easy access to public boat ramps, I-95, Savannah, and Fort Stewart. Schedule your private tour today!",
102 Egrets Way Ln,Richmond Hill,GA,31324,111240536,Single Family,1998,Bryan,2621,,1400,475000,/homedetails/102-Egrets-Way-Ln-Richmond-Hill-GA-31324/111240536_zpid/,4/4/2026,18,,https://photos.zillowstatic.com/fp/b40a585bdabe0a6c3ef98d97944f7e59-p_d.jpg,4,3,-81.323814,31.835596,"*Motivated Seller* Welcome to 102 Egrets Way Lane, where space, comfort, and scenic views come together! This beautiful brick 4-bedroom, 2.5-bath home features a 2.5 car garage, along with a versatile layout. Enjoy a formal sitting room, dining room, and a spacious family room or flex space to suit your lifestyle. Upstairs you'll find the primary bedroom, complete with a balcony overlooking the backyard and 2 stocked ponds, an en-suite with a large walk in closet and 3 other spacious bedrooms. Enjoy the screened in back porch and fully fenced in yard with double gate access, perfect for entertaining. The home consists of newer LVP, fresh paint, and updated appliances.  Waterford Landing amenities consist of 3 miles of walking paths, pool and clubhouse, driving range, basketball court, park with pavilion, boat/rv storage, 26 slip boat dock, and miles of green space with stocked ponds throughout. This home truly checks all the boxes!",2650
275 Kilkenny Road,Richmond Hill,GA,31324,223664985,Single Family,2014,Bryan,3071,3156,,774900,/homedetails/275-Kilkenny-Rd-Richmond-Hill-GA-31324/223664985_zpid/,1/22/2026,90,,https://photos.zillowstatic.com/fp/acd24780acd4f4b6f21c3cbce8f10441-p_d.jpg,4,2,-81.2461,31.806538,"Major Price Reduction!
RARE OPPORTUNITY TO OWN 5 ACRES IN RICHMOND HILL!
This one-of-a-kind home was built as a master carpenter’s custom residence, where exceptional craftsmanship and detailed trim work are showcased throughout.

The open floor plan is ideal for both everyday living and entertaining. Upstairs living space overlooks the main living, kitchen, and dining areas, creating a private treehouse feel with abundant natural light. The gourmet kitchen features granite countertops, custom cabinetry, Samsung Chef appliances, a built-in two-tap kegerator, and a wrap-around breakfast bar that comfortably seats eight. Vaulted ceilings with LED lighting in the great room and primary bedroom enhance the home’s bright, airy atmosphere.

An oversized mud/laundry room includes a large sink and built-in cabinetry, offering outstanding functionality. Two additional bedrooms and a full bath are located on the main level, while the enclosed garage provides flexible use as a fourth bedroom, home office, workout room, or flex space.

Perfect for hobbyists and outdoor enthusiasts, the property includes a 24' x 40' shop with lean-to, both equipped with power, water, and propane heat—ideal for RVs, boats, and equipment.

Situated on five acres of dry land, the property features mature trees, an established garden, a chicken coop, and an above-ground pool for enjoying outdoor living at home. Conveniently located just 2.5 miles from Kilkenny Marina and Demeries Boat Ramp, this home offers a rare blend of craftsmanship, privacy, and coastal lifestyle living.

Furniture to convey with an accepted offer.",2650
81 Liko Lane,Richmond Hill,GA,31324,461489860,Single Family,2026,Bryan,1775,,82,424190,/homedetails/81-Liko-Ln-Richmond-Hill-GA-31324/461489860_zpid/,4/3/2026,19,,https://photos.zillowstatic.com/fp/5c65e8b303ae2b18976ec2f367b452a4-p_d.jpg,4,2,-81.31682,31.850214,"The Rosella floorplan offers a thoughtfully designed layout that makes everyday living feel effortless. The open-concept design connects the kitchen, dining area, and gathering space, creating a welcoming environment for entertaining or relaxing at home. A centrally located kitchen provides plenty of workspace and storage, keeping everything functional and efficient. Secondary bedrooms add flexibility for guests, kids, or a home office, while smart design choices throughout maximize comfort and usability. The Rosella is a great option for those looking for a home that lives easy and adapts beautifully to a variety of lifestyles.",2650
"Compton Plan, Waterways",Richmond Hill,GA,31324,457041286,Single Family,2026,Bryan,1913,2768,,392990,/community/waterways/457041286_zpid/,4/6/2026,15,,https://photos.zillowstatic.com/fp/c771a1aebf7f9d0ffe31fd33e8175d44-p_d.jpg,3,2,-81.195015,31.862394,"The Compton floor plan in Richmond Hill, GA, offers an open layout ideal for hosting and flexible living. The spacious kitchen flows into the dining and living areas, while the front study can become a fourth bedroom or stylish office with an en-suite. Enjoy the luxurious Owner's Suite retreat. This new home design combines comfort, convenience, and modern new construction for your lifestyle.",2100
"Newberry Plan, Waterways",Richmond Hill,GA,31324,457041279,Single Family,2026,Bryan,2372,2899,,426990,/community/waterways/457041279_zpid/,4/1/2026,20,,https://photos.zillowstatic.com/fp/853f69cb113a105f97a99d6ad5021bbe-p_d.jpg,3,3,-81.195015,31.862394,"The Newberry floor plan in Richmond Hill, GA, offers a new home design perfect for modern living. Enjoy an open layout with a spacious kitchen that flows into the café and gathering areas, ideal for hosting or unwinding. The Everyday Entry™ keeps things organized, and the Pulte Planning Center® helps you stay on top of your day. Upstairs, a bright loft adds flexible living space for any lifestyle.",2100
"Hudson Plan, Wexford",Richmond Hill,GA,31324,460694714,Single Family,2026,Bryan,2341,2861,,479500,/community/wexford/460694714_zpid/,4/12/2026,9,,https://photos.zillowstatic.com/fp/acb999dbeb5d67cb40ac7a9fbb9f92af-p_d.jpg,3,3,-81.2703,31.873547,"The Hudson by Ernest Homes offers modern, functional design across two stories - ideal for homeowners seeking style, comfort, and convenience. At 2,341 heated square feet, this three-bedroom, two-and-a-half-bath plan with a 1.5 car garage is tailored for families, professionals, and those looking to upscale or relocate in the Savannah area.

On the main level, the Hudson features an open-concept layout that seamlessly connects the kitchen, dining area, and great room - perfect for entertaining or everyday family life. The kitchen is designed for ease and efficiency, with abundant counter space and a flow that keeps the heart of the home connected. Just off the main living area, the optional covered porch provides a nice outdoor extension of your living space.

Upstairs, the Hudson includes three well-sized bedrooms. The owner's suite delivers a private retreat, complete with its own bath and generous closet space. Two additional bedrooms share easy access to the second full bath, while the half bath on the main floor supports guests and daily convenience.

With its balanced design and thoughtful use of space, the Hudson offers both versatility and lasting appeal. Whether you're building in Richmond Hill, GA or Guyton (Effingham County), GA, this plan is within reach. In a market that includes relocators from Fort Stewart, Hunter Army Airfield, Gulfstream, and the growing Hyundai Metaplant community, the Hudson is primed to offer a quality home you can build now and personaliz",2100
"Mystique Plan, Waterways",Richmond Hill,GA,31324,457041281,Single Family,2026,Bryan,1809,2721,,390990,/community/waterways/457041281_zpid/,4/20/2026,2,,https://photos.zillowstatic.com/fp/ba360d42c56deb14a88d2d04a4fc64d0-p_d.jpg,2,2,-81.195015,31.862394,"The Mystique new home design has ample space in the Owner's Suite featuring a large bath and walk-in closet. Your guests will love the secondary bedroom with its own full bath. Enjoy the versatility of a flex room just off the foyer that can serve as an extra bedroom, study or office. Don't miss a beat in the kitchen, open to the café and gathering room.",1500
29 Leaf Ct,Richmond Hill,GA,31324,295219285,Townhouse,2019,Bryan,1498,1992,,214900,/homedetails/29-Leaf-Ct-Richmond-Hill-GA-31324/295219285_zpid/,4/21/2026,1,,https://photos.zillowstatic.com/fp/420329901f48545e42b546604fe985cf-p_d.jpg,3,3,-81.27992,31.909328,"The auction for this Hubzu property ends 04-27-2026 at 01:00 PM ET. Why wait? Bid on this property now. Visit Hubzu to get started. Great Opportunity to own this townhouse oozing with potential. This home was built in 2019 and features 3 bedrooms and 2.5 bathrooms. ***SPECIAL NOTES: (1) This is a CASH ONLY transaction. (2) Seller to pay Taxes, HOA, and Municipal/Utility Liens. (3) Please read the Auction disclaimers carefully before placing a bid or submitting an offer. ***",2100
120 Riceland Way,Richmond Hill,GA,31324,318570495,Single Family,2019,Bryan,2559,,,1550000,/homedetails/120-Riceland-Way-Richmond-Hill-GA-31324/318570495_zpid/,11/10/2025,162,,https://photos.zillowstatic.com/fp/491520ae73405bc9bb55f7cb3c3ec01c-p_d.jpg,3,4,-81.29599,31.944593,"Experience stylish Lowcountry living in the Silk Hope enclave of the exclusive Ford Field & River Club. This elegant 3-bed, 3.5-bath home blends timeless architecture with modern comfort and refined craftsmanship. The open floor plan showcases a gourmet kitchen, light filled living area with dramatic floor-to-ceiling windows, a fireplace, and a serene primary suite on the main level. Upstairs, two spacious guest suites, each with en-suite baths, offer privacy and charm. Enjoy peaceful views of the Village Green and surrounding marshland from the courtyard or covered porch, perfect for morning coffee or sunset gatherings. Nestled in a private, gated community with world class amenities-golf, marina, equestrian center, spa, and more - this residence embodies sophistication, comfort, and the art of Lowcountry living just minutes from historic Savannah.",2100
335 Joshua Circle,Ellabell,GA,31308,223654117,Single Family,2005,Bryan,1363,1922,13,269900,/homedetails/335-Joshua-Cir-Ellabell-GA-31308/223654117_zpid/,9/28/2025,206,,https://photos.zillowstatic.com/fp/fd2b11086315fa17a87b414cf98d33a2-p_d.jpg,3,2,-81.50722,32.122192,"Welcome home to this charming 3-bedroom, 2-bath property in a peaceful, established neighborhood near the Hyundai plant. Featuring an open living area with vaulted ceilings, a bright kitchen with a breakfast nook and pantry, and a spacious master suite with ample closet space, this home offers both comfort and functionality. Enjoy the expansive 0.65-acre lot—perfect for entertaining, gardening, or relaxing outdoors. With a two-car garage and convenient access to highways and coastal destinations, this home blends space, serenity, and convenience. USDA eligible—schedule your showing today!",1800
206 Ash Branch Rd,Pembroke,GA,31321,76358232,Single Family,1995,Bryan,2789,1991,,330000,/homedetails/206-Ash-Branch-Rd-Pembroke-GA-31321/76358232_zpid/,1/25/2026,87,Active,https://photos.zillowstatic.com/fp/760189d6e8996f517c69735823c94c34-p_d.jpg,3,2,-81.62161,32.1427,Great house close to town.  All brick home on over an acre.  Close to schools ad shopping.  Fenced yard with gazeebo.  Large kitchen with plenty of cabinets.  Room to grow,1750
207 Judith St,Pembroke,GA,31321,338909669,Single Family,2022,Bryan,1863,2336,,369900,/homedetails/207-Judith-St-Pembroke-GA-31321/338909669_zpid/,4/2/2026,20,Active,https://photos.zillowstatic.com/fp/93101418a63c94f7df5a242c53a78c80-p_d.jpg,4,3,-81.61735,32.14391,"Welcome home to 207 Judith Street in Pembroke, Georgia! This 4 bedroom, 2 1/2 bath home offers 1,863 square feet of comfortable living space on a 0.3 acre lot, giving you the perfect balance of space and easy maintenance.    Tucked away at the end of a quiet street, this home provides a peaceful setting while still being conveniently close to local schools. Inside, you'll find a functional layout with plenty of room for family and guests. The kitchen features beautiful granite countertops, making it both stylish and practical for everyday living and entertaining.    Step outside to enjoy the fully fenced backyard, perfect for kids, pets, or just relaxing in your own private space. The 16 x 20 patio is ideal for cookouts, gatherings, or unwinding after a long day. You'll also appreciate the added convenience of a sprinkler system with a timer to keep your yard looking its best year-round.    With underground utilities and no HOA, you get a clean neighborhood feel without the extra restrictions. This home truly offers comfort, convenience, and a quiet location all in one.    If you're looking for a move-in ready home with brand new paint and flooring, this one is definitely worth a look!",2100
